Day,File,Lines,Sections,InfoBlocks,SimpleAnalogies,CodeBlocks,Videos,ValidVideos,BrokenVideos,BrokenVideoIds,ReadTime,HeroPractice,ActualQuestions,Mismatch
1,DayOne.html,1082,12,6,12,17,11,11,0,"",90,30,30,false
2,DayTwo.html,1045,12,9,13,12,8,8,0,"",95,40,20,true
3,DayThree.html,431,8,6,5,4,6,6,0,"",50,20,20,false
4,DayFour.html,344,8,8,5,1,5,5,0,"",55,15,15,false
5,DayFive.html,404,8,9,7,3,3,3,0,"",45,20,20,false
6,DaySix.html,434,7,9,3,1,4,4,0,"",0,20,20,false
7,DaySeven.html,286,7,3,1,1,9,9,0,"",45,0,20,true
8,DayEight.html,332,8,3,1,1,8,8,0,"",40,20,20,false
9,DayNine.html,300,8,3,3,2,5,5,0,"",50,20,20,false
10,DayTen.html,297,7,3,2,1,5,5,0,"",50,20,20,false
11,DayEleven.html,258,7,3,2,1,5,5,0,"",45,20,20,false
12,DayTwelve.html,265,7,3,4,0,5,5,0,"",50,20,20,false
13,DayThirteen.html,238,7,2,2,0,5,5,0,"",50,20,20,false
14,DayFourteen.html,248,7,2,1,1,5,4,1,"tf_aV1S8jM",50,20,20,false
15,DayFifteen.html,357,8,0,0,1,4,4,0,"",45,15,15,false
16,DaySixteen.html,426,11,1,0,0,5,5,0,"",80,22,6,true
17,DaySeventeen.html,371,8,0,0,3,8,8,0,"",50,15,12,true
18,DayEighteen.html,289,7,0,0,1,6,6,0,"",45,10,22,true
19,DayNineteen.html,339,10,4,3,2,5,5,0,"",60,20,20,false
20,DayTwenty.html,309,7,1,0,1,10,10,0,"",45,12,6,true
21,DayTwentyOne.html,301,7,0,0,1,10,10,0,"",45,12,20,true
22,DayTwentyTwo.html,277,6,0,0,1,6,6,0,"",45,12,20,true
23,DayTwentyThree.html,296,7,0,0,1,5,5,0,"",45,12,20,true
24,DayTwentyFour.html,407,7,1,0,1,0,0,0,"",45,12,20,true
25,DayTwentyFive.html,334,7,1,0,1,10,10,0,"",45,10,20,true
26,DayTwentySix.html,412,10,1,0,2,10,10,0,"",45,20,20,false
27,DayTwentySeven.html,305,7,0,0,1,10,10,0,"",45,12,20,true
28,DayTwentyEight.html,289,6,0,0,1,5,5,0,"",45,10,20,true
29,DayTwentyNine.html,309,7,1,1,1,5,5,0,"",45,12,20,true
30,DayThirty.html,317,7,1,0,1,5,5,0,"",45,12,20,true
31,DayThirtyOne.html,369,9,0,0,1,5,5,0,"",45,18,20,true
32,DayThirtyTwo.html,587,11,1,0,7,0,0,0,"",75,20,20,false
33,DayThirtyThree.html,411,10,1,0,4,10,10,0,"",75,18,20,true
34,DayThirtyFour.html,279,6,0,0,2,10,10,0,"",45,10,20,true
35,DayThirtyFive.html,283,6,0,0,2,10,10,0,"",50,10,20,true
36,DayThirtySix.html,350,9,1,0,1,0,0,0,"",90,20,20,false
37,DayThirtySeven.html,444,6,2,0,3,0,0,0,"",35,10,20,true
38,DayThirtyEight.html,701,10,4,0,5,6,6,0,"",85,20,20,false
39,DayThirtyNine.html,450,7,0,0,2,10,10,0,"",45,10,20,true
40,DayForty.html,427,7,0,0,2,10,10,0,"",50,10,20,true
41,DayFortyOne.html,369,7,1,0,1,10,10,0,"",55,10,20,true
42,DayFortyTwo.html,372,8,1,0,1,10,10,0,"",55,10,20,true
43,DayFortyThree.html,584,11,2,0,4,0,0,0,"",95,20,20,false
44,DayFortyFour.html,376,10,1,0,2,10,10,0,"",90,24,20,true
45,DayFortyFive.html,276,6,1,0,1,10,10,0,"",45,12,20,true
46,DayFortySix.html,276,6,0,0,1,10,10,0,"",45,12,20,true
47,DayFortySeven.html,276,6,0,0,1,10,10,0,"",45,12,20,true
48,DayFortyEight.html,377,10,2,0,2,10,10,0,"",90,24,20,true
49,DayFortyNine.html,299,7,0,0,1,10,10,0,"",45,12,20,true
50,DayFifty.html,281,6,0,0,1,10,10,0,"",45,12,20,true
51,DayFiftyOne.html,374,7,1,0,1,10,10,0,"",45,10,20,true
52,DayFiftyTwo.html,287,5,1,0,1,0,0,0,"",45,8,20,true
53,DayFiftyThree.html,281,6,1,0,1,0,0,0,"",45,8,20,true
54,DayFiftyFour.html,257,5,1,0,1,0,0,0,"",50,8,20,true
55,DayFiftyFive.html,380,11,2,0,1,10,10,0,"",90,14,20,true
56,DayFiftySix.html,277,7,0,0,1,10,10,0,"",45,0,20,true
57,DayFiftySeven.html,311,8,0,0,1,8,8,0,"",50,0,20,true
58,DayFiftyEight.html,320,8,0,1,1,9,9,0,"",50,0,20,true
59,DayFiftyNine.html,323,8,0,0,1,8,8,0,"",45,0,20,true
60,DaySixty.html,342,10,0,0,1,10,10,0,"",95,12,20,true
61,DaySixtyOne.html,309,8,0,0,1,10,10,0,"",50,0,20,true
62,DaySixtyTwo.html,411,13,0,0,1,10,10,0,"",95,0,20,true
63,DaySixtyThree.html,302,8,0,0,1,10,10,0,"",45,0,20,true
64,DaySixtyFour.html,311,8,0,0,1,9,9,0,"",50,0,20,true
65,DaySixtyFive.html,298,8,0,0,1,10,10,0,"",50,0,20,true
66,DaySixtySix.html,326,6,1,0,1,5,5,0,"",50,10,20,true
67,DaySixtySeven.html,298,6,0,0,0,5,5,0,"",45,10,20,true
68,DaySixtyEight.html,374,11,0,0,1,10,10,0,"",95,0,20,true
69,DaySixtyNine.html,394,12,0,1,1,8,8,0,"",90,0,20,true
70,DaySeventy.html,316,8,0,0,1,10,10,0,"",50,0,20,true
71,DaySeventyOne.html,301,8,0,0,1,10,10,0,"",45,0,20,true
72,DaySeventyTwo.html,290,8,0,0,1,10,10,0,"",50,0,20,true
73,DaySeventyThree.html,299,8,0,0,1,8,8,0,"",45,0,20,true
74,DaySeventyFour.html,366,11,0,0,2,10,10,0,"",90,0,20,true
75,DaySeventyFive.html,270,8,0,0,1,8,8,0,"",50,0,20,true
76,DaySeventySix.html,291,8,0,0,1,10,10,0,"",50,0,20,true
77,DaySeventySeven.html,287,8,0,0,1,10,10,0,"",45,0,20,true
78,DaySeventyEight.html,291,8,0,0,1,10,10,0,"",45,0,20,true
79,DaySeventyNine.html,292,8,0,0,1,9,9,0,"",50,0,20,true
80,DayEighty.html,410,13,0,0,2,8,8,0,"",90,0,20,true
81,DayEightyOne.html,546,15,3,0,2,9,9,0,"",90,10,20,true
82,DayEightyTwo.html,290,7,0,0,1,9,9,0,"",60,10,20,true
83,DayEightyThree.html,288,7,0,0,1,8,8,0,"",50,10,20,true
84,DayEightyFour.html,291,8,0,0,1,8,8,0,"",60,10,20,true
85,DayEightyFive.html,277,7,0,0,1,10,10,0,"",60,10,20,true
86,DayEightySix.html,390,13,1,0,1,10,10,0,"",120,10,20,true
87,DayEightySeven.html,362,12,1,0,1,10,10,0,"",120,10,20,true
88,DayEightyEight.html,274,7,1,0,1,9,9,0,"",60,10,20,true
89,DayEightyNine.html,270,7,0,0,1,9,9,0,"",60,10,20,true
90,DayNinety.html,276,7,0,0,1,10,10,0,"",60,10,20,true
91,DayNinetyOne.html,245,7,1,0,0,7,7,0,"",45,0,20,true
92,DayNinetyTwo.html,288,7,0,0,1,10,10,0,"",45,0,20,true
93,DayNinetyThree.html,279,7,0,0,2,10,10,0,"",45,0,20,true
94,DayNinetyFour.html,270,7,0,0,1,9,9,0,"",45,0,20,true
95,DayNinetyFive.html,270,7,0,0,1,9,9,0,"",45,0,20,true
96,DayNinetySix.html,269,7,1,0,1,9,9,0,"",45,0,20,true
97,DayNinetySeven.html,244,7,0,1,0,7,7,0,"",45,0,20,true
98,DayNinetyEight.html,252,0,0,0,0,5,5,0,"",0,0,20,true
99,DayNinetyNine.html,60,0,0,0,0,0,0,0,"",0,0,20,true
100,DayOneHundred.html,74,0,0,0,0,0,0,0,"",0,0,20,true
